#fields	hash	name
e76ac6872939f6ebfdf75f1ea73b4daf	Great_Firewall_of_China_Probe_(via_pcaps_from_https://nymity.ch/active-probing/)	T
d9b07b9095590f4ff910ceee7b6af88a	HipChat	T
3e860202fc555b939e83e7a7ab518c38	hola_svc	T
54328bd36c14bd82ddaa0c04b25ed9ad	hola_svc	T
56ac3a0bef0824c49e4b569941937088	hola_svc	T
8bd59c4b7f3193db80fd64318429bcec	hola_svc	T
d1f9f9b224387d2597f02095fcec96d7	hola_svc	T
ff1040ba1e3d235855ef0d7cd9237fdc	hola_svc	T
5c1c89f930122bccc7a97d52f73bea2c	hola_svc;_BOT:_Ahrefs_crawler	T
a1ec6fd012b9ee6f84c50339c4205270	HTTRack	T
5af143afdbf58ec11ab3b3d53dd4e5e3	IDSyncDaemon	T
4cafc7a0acf83a49317ca199b2f25c82	IE_11	T
78273d33877a36c0c30e3fb7578ee9e7	IE_11	T
fee8ec956f324c71e58a8c0baf7223ef	IE_11_Win10	T
a61299f9b501adcf680b9275d79d4ac6	In_all_the_malware_samples_-_Java_updater_perhaps	T
d06acbe8ac31e753f40600a9d6717cba	Inbox_OSX	T
a264c0bb146b2fade4410bcd61744b69	Internet_Explorer_11.0.9600.17959	T
a6776199188c09f5124b46b895772fa2	Internet_Explorer_11_.0.9600.1731.(Win_8.1)	T
06d930b072bf052b10d0a9eea1554f60	iOS_AppleWebKit/536.26	T
99204897b101b15f87e9b07f67453f4e	iOS_Mail_App_(tested:_iOS_9.3.3)	T
a9aecaa66ad9c6cfe1c361da31768506	iPad;_CPU_OS_9_3_5__Safari_601.1	T
7e72698146290dd68239f788a452e7d8	iPhone_OS_10_3_3_Safari_602.1	T
c6ecc5ba2a6ab724a7430fa4890d957d	iTunes/iBooks_#1	T
c07295da5465d5705a38f044e53ef7c4	iTunes/iBooks_#2	T
028563cffc7a3a2e32090aee0294d636	java	T
093081b45872912be9a1f2a8163fe041	java	T
2080bf56cb87e64303e27fcd781e7efd	java	T
225a24b45f0f1adbc2e245d4624c6e08	java	T
3afe1fb5976d0999abe833b14b7d6485	java	T
3b844830bfbb12eb5d2f8dc281d349a9	java	T
550628650380ff418de25d3d890e836e	java	T
5b270b309ad8c6478586a15dece20a88	java	T
5d7abe53ae15b4272a34f10431e06bf3	java	T
5f9b53f0d39dc9d940a3b5568fe5f0bb	java	T
88afa0dea1608e28f50acbad32d7f195	java	T
8ce6933b8c12ce931ca238e9420cc5dd	java	T
a9fead344bf3ac09f62df3cd9b22c268	java	T
187dfde7edc8ceddccd3deeccc21daeb	Java/1.8.0_121;Apache-HttpClient/4.5.2_(Java/1.8.0_121);Crowsnest/0.5	T
f22bdd57e3a52de86cda40da2d84e83b	Java/1.8.0_131;Feedly/1.0;	T
7c7a68b96d2aab15d678497a12119f4f	java;crawler4j_(https://github.com/yasserg/crawler4j/)	T
c376061f96329e1020865a1dc726927d	JavaApplicationStub	T
ced7418dee422dd70d2a6f42bb042432	K9_Mail_(Android)	T
e516ad69a423f8e0407307aa7bfd6344	Kindle	T
8194818a46f5533268472f2167ffec70	Konqueror_4.14.18_(openSUSE_Leap_42.1)_2	T
78253eb48a1431a4bbbe6bb4358464ac	Konqueror_4.14.18_/_Kmail_4.14.18_(openSUSE_Leap_42.1)_1	T
0e0b798d0208ad365eec733b29da92a6	Konqueror_4.8;_OpenSSL_s_client_(tested:_1.0.1f_-_Ubuntu_14.04TS)	T
3959d0a1344896e9fb5c0564ca0a2956	LeagueClientUx	T
18b44fb15475eaf5d93a98ebaf99a0ce	Life360_App(Android)	T
31010a807900df95eb46e153206784a8	Life360_App(Android)	T
4cac4602af19b7791ed9d3cfa05594e2	Life360_App(Android)	T
73f6df94bdc932425a876de76b538388	Life360_App(Android)	T
f6a0bfafe2bf7d9c79ffb3f269b64b46	Amazon_Alexa	T
0fe51fa93812c2ebb50a655222a57bf2	LINE_Messaging	T
2e094913d88f0ad8dc69447cb7d2ce65	LINE_Messaging	T
193349d34561d1d5d1a270172eb2d97e	LogMeIn_Client	T
0cbbafcdaf63cbf1e490c4a2d903f24b	Mail_app_iOS	T
67f762b0ffe3aad00dfdb0e4b1acd8b5	Malware:Dridex	T
a34e8a810b5f390fc7aa5ed711fa6993	Malware:Gootkit	T
c6e36d272db78ba559429e3d845606d1	Malware:Gootkit;Malware_Test_FP:_neutrino-ek-after-mu-media.co.uk	T
84a315236aceb31ad56f5647dc64f793	Malware:https://www.virustotal.com/en/file/802d683b596d7ce7ae373b15fa4a8e8c2a237bd15bc8ef655fbd2c41239fa2c8/analysis/1433178940/	T
73fab4ba757fdd5aac4729eb20f07c04	Malware:https://www.virustotal.com/file/07853289247c4c932ddfbf4c215b4e86240fab6661a6d6a85ac8ee37fe92b9be/analysis/1433596684/	T
45c2897e06c4979bd3b8e512523590d7	Malware:https://www.virustotal.com/file/bbb3fbd2e8289d04733f8f005dc6410b050bee193a12ddf2f819141834e9c8fa/analysis/1433054369/	T
4954bf2b5e6592b390a89d3b1dbe550a	Malware:https://www.virustotal.com/file/bbb3fbd2e8289d04733f8f005dc6410b050bee193a12ddf2f819141834e9c8fa/analysis/1433054369/	T
b50f81ae37fb467713e167137cf14540	Malware:TBot_/_Skynet_Tor_Botnet	T
b9103d9d134e0c59cafbe4ae0a8299a8	Malware:Unknown_traffic_associated_with_Dridex	T
de350869b8c85de67a350c8d186f11e6	Malware_Test_FP:angler-ek-malware-payload-sandbox-analysis-winxp;_Mozilla/4.0_	T
96eba628dcb2b47607192ba74a3b55ba	Malware_Test_FP:angler-ek-traffic-01;Tofsee(from_abuse.ch)	T
d55e755245ac118f2b1847c1c57b5e03	Malware_Test_FP:angler-ek-traffic-02	T
85c420ab089dac5025034444789a8fb5	Malware_Test_FP:angler-ek-traffic-02;Firefox/13.0-25.0	T
10ee8d30a5d01c042afd7b2b205facc4	Malware_Test_FP:banking-phish-traffic	T
2201d8e006f8f005a6b415f61e677532	Malware_Test_FP:blackhole-ek-traffic;Mozilla/5.0_(compatible;_MSIE_9.0;_Windows_NT_6.1;_Trident/5.0	T
